status,name,prefecture,rank,proposal,note
low,(株)ヒガシヤマ,石川県,ランクA,訪問済・低優先（石川など便の悪い案件は増やさない）,取引先:コマツ、スギノマシン、安川電機、他 / [精査]石川後回し
no_prospect,(株)東振精機,石川県,ランクA,訪問済・見込みなし（再訪不要）,取引先:国内大手ベアリングメーカー / 取引先:同上
no_prospect,土肥研磨工業(株),石川県,ランクA,訪問済・見込みなし（再訪不要）,取引先:ヤンマー建機、キャタビラジャパン、他
low,松本機械工業(株),石川県,ランクA,訪問済・低優先（石川など便の悪い案件は増やさない）,取引先:主要工作機械メーカー各社 / [精査]石川後回し
low,(株)サンエー精機,石川県,ランクB,訪問済・低優先（石川など便の悪い案件は増やさない）,取引先:阪神動力、牧野フライス、森精機
low,(株)ナカシマ鉄工所,石川県,ランクB,訪問済・低優先（石川など便の悪い案件は増やさない）,取引先:光陽精機、板尾鉄工所、津南油圧 / [精査]石川後回し
listen,(株)中川鉄工所,石川県,ランクB,公式は長尺・大型機械加工（白山）。話聞き程度（コマツ案件ではない）,公式取引先:かもめプロペラ、神戸製鋼、ナカシマプロペラ、酉島、日立ビルほか（一覧に小松製作所も含むが主業は長尺加工） / HP:https://www.nakagawa-t.com/ / [ウェブ優先]コマツ案件ではない※鋳造の別社と混同注意
listen,(株)共和工業所,石川県,ランクB,公式は高強度ボルト・圧造部品・ギアメーカー（ネジ主業）。話聞き程度（コマツ案件扱いしない）,正式社名は共和工業所。公式事業:建設機械用ボルト・ギア等 / 公式取引先一覧に小松・日立建機・コベルコあるが主業はボルト / HP:https://kyowakogyosyo.co.jp/ / [ウェブ優先]コマツ案件ではない・ネジ／ボルト
low,(株)北研精機,石川県,ランクB,訪問済・低優先（石川など便の悪い案件は増やさない）,取引先:高松機械、津田駒工業、明治機械、他 / [精査]石川後回し
low,(株)多川製作所,石川県,ランクB,訪問済・低優先（石川など便の悪い案件は増やさない）,取引先:津田駒工業、ツガミ、ダイハツディーゼル / [精査]石川後回し
listen,(株)大徳鉄工,石川県,ランクB,公式は大型旋盤・航空／重電部品加工。話聞き程度（コマツ案件ではない）,公式取引先:東芝、三菱重工、日立、IHI、クボタ、大同、鈴木鉄工、コマツ産機ほか / HP:https://www.daitokutekko.jp/company/ / [ウェブ優先]コマツ案件ではない・多業種大型加工
low,(株)米沢鉄工所,石川県,ランクB,訪問済・低優先（石川など便の悪い案件は増やさない）,取引先:渋谷工業(株)、(株)石川製作所 / [精査]石川後回し
low,(株)近江工業所,石川県,ランクB,訪問済・低優先（石川など便の悪い案件は増やさない）,取引先:中村留精密工業、オークマ / [精査]石川後回し
low,(株)香林鉄工所,石川県,ランクB,訪問済・低優先（石川など便の悪い案件は増やさない）,取引先:ハウメットジャパン(株) / [精査]石川後回し
low,カネノ精密工業(株),石川県,ランクB,訪問済・低優先（石川など便の悪い案件は増やさない）,取引先:都築製作所、住友建機、加賀産業 / [精査]石川後回し
no_prospect,コマツキカイ(株),石川県,ランクB,訪問済・見込みなし（再訪不要）,取引先:古河機械金属、日立建機、住重機械 / [精査]コマツ筋・OTC不可
low,東邦工業(株),石川県,ランクB,訪問済・低優先（石川など便の悪い案件は増やさない）,取引先:国内外の自動車部品製造会社 / [精査]石川後回し
low,(有)出井,石川県,ランクC,訪問済・低優先（石川など便の悪い案件は増やさない）,取引先:シメックス工業、医師の製作所 / [精査]石川後回し
